id,left,top,right,bottom,row_index,col_index,상가수,역명,역 거리,대로변,대로변 거리,일수_sum,상가밀도점수,팝업 점수,역 점수,대로변 점수,최종지수
1295,958375.4377,1950651.879,958473.4377,1950551.879,22,24,0,행당역,393.2632762,11000UQ151PS201912157311,308.3688632,0,0,0,0.775,0.843,0.485
1296,958375.4377,1950551.879,958473.4377,1950451.879,23,24,1,행당역,493.1895226,11000UQ151PS201912157311,244.4841636,0,0.005,0,0.718,0.875,0.48
1297,958375.4377,1950451.879,958473.4377,1950351.879,24,24,2,응봉역,511.6139631,11000UQ151PS201912157311,210.8763097,0,0.011,0,0.708,0.893,0.485
1298,958375.4377,1950351.879,958473.4377,1950251.879,25,24,0,응봉역,474.7117991,11000UQ151PS201912157311,221.7662981,0,0,0,0.729,0.887,0.485
1299,958375.4377,1950251.879,958473.4377,1950151.879,26,24,0,응봉역,457.1311667,11000UQ151PS201912157311,271.8582815,0,0,0,0.739,0.861,0.48
1300,958375.4377,1950151.879,958473.4377,1950051.879,27,24,3,응봉역,461.0874985,11000UQ151PS201912157311,344.4542361,0,0.016,0,0.737,0.824,0.475
1301,958375.4377,1950051.879,958473.4377,1949951.879,28,24,0,응봉역,486.0551668,11000UQ151PS201912160839,252.2731707,0,0,0,0.723,0.871,0.478
1010,957885.4377,1952651.879,957983.4377,1952551.879,2,19,0,상왕십리역,932.3764553,11000UQ151PS201912156911,374.2091645,0,0,0,0.468,0.809,0.383
1011,957885.4377,1952551.879,957983.4377,1952451.879,3,19,4,상왕십리역,867.4494567,11000UQ151PS201912156911,305.8541312,0,0.022,0,0.505,0.844,0.414
1012,957885.4377,1952451.879,957983.4377,1952351.879,4,19,0,상왕십리역,785.452832,11000UQ151PS201912156911,220.0235284,0,0,0,0.552,0.888,0.432
1013,957885.4377,1952351.879,957983.4377,1952251.879,5,19,0,상왕십리역,708.0692252,11000UQ151PS201912156911,152.5421971,0,0,0,0.596,0.922,0.455
1014,957885.4377,1952251.879,957983.4377,1952151.879,6,19,0,상왕십리역,637.1491575,11000UQ151PS201912156911,134.905878,0,0,0,0.636,0.931,0.47
1015,957885.4377,1952151.879,957983.4377,1952051.879,7,19,0,상왕십리역,574.8740954,11000UQ151PS201912156911,181.834445,0,0,0,0.672,0.907,0.474
1016,957885.4377,1952051.879,957983.4377,1951951.879,8,19,160,상왕십리역,524.2031008,11000UQ151PS201912165126,780.013066,0,0.865,0,0.701,0.603,0.737
1017,957885.4377,1951951.879,957983.4377,1951851.879,9,19,0,상왕십리역,490.5385701,11000UQ151PS201912165126,787.7575445,0,0,0,0.72,0.599,0.396
1063,957983.4377,1952651.879,958081.4377,1952551.879,2,20,0,상왕십리역,892.3578536,11000UQ151PS201912156911,340.4698049,0,0,0,0.491,0.827,0.395
1064,957983.4377,1952551.879,958081.4377,1952451.879,3,20,3,상왕십리역,813.6494455,11000UQ151PS201912156911,264.492876,0,0.016,0,0.535,0.865,0.426
1065,957983.4377,1952451.879,958081.4377,1952351.879,4,20,0,상왕십리역,737.9434956,11000UQ151PS201912156911,181.6751831,0,0,0,0.579,0.907,0.446
1066,957983.4377,1952351.879,958081.4377,1952251.879,5,20,0,상왕십리역,655.7040047,11000UQ151PS201912156911,90.35624537,0,0,0,0.626,0.954,0.474
1067,957983.4377,1952251.879,958081.4377,1952151.879,6,20,124,상왕십리역,579.0941458,11000UQ151PS201912156911,57.77345316,0,0.67,0,0.669,0.971,0.76
1068,957983.4377,1952151.879,958081.4377,1952051.879,7,20,0,상왕십리역,510.6539598,11000UQ151PS201912156911,136.1118459,0,0,0,0.708,0.931,0.492
1069,957983.4377,1952051.879,958081.4377,1951951.879,8,20,0,상왕십리역,454.0925595,11000UQ151PS201912165126,701.4045202,0,0,0,0.741,0.643,0.415
1070,957983.4377,1951951.879,958081.4377,1951851.879,9,20,0,상왕십리역,414.7341968,11000UQ151PS201912165126,710.8826624,0,0,0,0.763,0.638,0.42
1117,958081.4377,1952551.879,958179.4377,1952451.879,3,21,1,상왕십리역,762.1685867,11000UQ151PS201912156911,261.8043393,0,0.005,0,0.565,0.867,0.432
1118,958081.4377,1952451.879,958179.4377,1952351.879,4,21,3,상왕십리역,690.3480931,11000UQ151PS201912155046,130.8580602,0,0.016,0,0.606,0.933,0.468
1119,958081.4377,1952351.879,958179.4377,1952251.879,5,21,35,상왕십리역,601.6374465,11000UQ151PS201912155046,35.69094399,0,0.189,0,0.657,0.982,0.567
1120,958081.4377,1952251.879,958179.4377,1952151.879,6,21,0,상왕십리역,517.0782295,11000UQ151PS201912155046,73.74957866,0,0,0,0.705,0.962,0.5
1121,958081.4377,1952151.879,958179.4377,1952051.879,7,21,0,상왕십리역,439.0755343,11000UQ151PS201912156911,134.2069037,0,0,0,0.749,0.932,0.504
1122,958081.4377,1952051.879,958179.4377,1951951.879,8,21,0,상왕십리역,371.7793772,11000UQ151PS201912165126,603.4345431,0,0,0,0.788,0.693,0.444
1123,958081.4377,1951951.879,958179.4377,1951851.879,9,21,0,상왕십리역,321.8859292,11000UQ151PS201912165126,615.2342559,0,0,0,0.816,0.686,0.451
1124,958081.4377,1951851.879,958179.4377,1951751.879,10,21,0,상왕십리역,272.5832577,11000UQ151PS201912161594,98.14349429,0,0,0,0.844,0.95,0.538
1170,958179.4377,1952551.879,958277.4377,1952451.879,3,22,0,상왕십리역,732.7760729,11000UQ151PS201912156911,288.3631379,0,0,0,0.582,0.853,0.43
1171,958179.4377,1952451.879,958277.4377,1952351.879,4,22,4,상왕십리역,654.0817347,11000UQ151PS201912156911,226.2709392,0,0.022,0,0.627,0.885,0.462
1172,958179.4377,1952351.879,958277.4377,1952251.879,5,22,0,상왕십리역,559.6517055,11000UQ151PS201912156911,162.3481192,0,0,0,0.68,0.917,0.479
1173,958179.4377,1952251.879,958277.4377,1952151.879,6,22,0,상왕십리역,467.5599431,11000UQ151PS201912156911,146.7325174,0,0,0,0.733,0.925,0.497
1174,958179.4377,1952151.879,958277.4377,1952051.879,7,22,0,상왕십리역,379.5124798,11000UQ151PS201912151240,86.27342234,0,0,0,0.783,0.956,0.522
1175,958179.4377,1952051.879,958277.4377,1951951.879,8,22,1,상왕십리역,299.1024862,11000UQ151PS201912165126,505.4905815,0,0.005,0,0.829,0.742,0.473
1176,958179.4377,1951951.879,958277.4377,1951851.879,9,22,3,상왕십리역,234.3288826,11000UQ151PS201912165126,519.9460613,0,0.016,0,0.866,0.735,0.487
1177,958179.4377,1951851.879,958277.4377,1951751.879,10,22,17,상왕십리역,189.6573422,11000UQ151PS201912160857,65.8452717,0,0.092,0,0.892,0.966,0.594
1223,958277.4377,1952551.879,958375.4377,1952451.879,3,23,0,상왕십리역,692.771851,11000UQ151PS201912161904,196.9164608,0,0,0,0.604,0.9,0.451
1224,958277.4377,1952451.879,958375.4377,1952351.879,4,23,5,상왕십리역,622.4976994,11000UQ151PS201912151822,29.94687492,0,0.027,0,0.645,0.985,0.5
1225,958277.4377,1952351.879,958375.4377,1952251.879,5,23,0,상왕십리역,532.6114823,11000UQ151PS201912160801,83.32165661,0,0,0,0.696,0.958,0.496
1226,958277.4377,1952251.879,958375.4377,1952151.879,6,23,0,상왕십리역,434.8301397,11000UQ151PS201912160801,18.02129304,0,0,0,0.752,0.991,0.523
1227,958277.4377,1952151.879,958375.4377,1952051.879,7,23,0,상왕십리역,338.3706027,11000UQ151PS201912151240,31.17994172,0,0,0,0.807,0.984,0.537
