"기준_년분기_코드","행정동_코드","행정동_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20201","11620655","신원동","2403237","05","1615446000","816250000","16894000","16554000","117514000","12814000","19529000","73236000","68825000","52051000","421779000"
"20201","11620645","서원동","2412001","05","9460562000","1320348000","618936000","99340000","1888438000","37500000","150728000","1334769000","831185000","552985000","2626333000"
"20201","11620630","남현동","3234026","07","4520107000","1638306000","18709000","2841000","519004000","93885000","74440000","314739000","400031000","142271000","1315881000"
"20201","11620625","인헌동","2783693","06","3265364000","860448000","58858000","5205000","341214000","542051000","69651000","106697000","251840000","113735000","915665000"
"20201","11620615","중앙동","2633493","06","5031878000","1777015000","59355000","121170000","899544000","32043000","361355000","93980000","282388000","194685000","1210343000"
"20201","11620605","은천동","3063077","07","5153343000","2144582000","40941000","422210000","259940000","364415000","204159000","95979000","172552000","160927000","1287638000"
"20201","11620595","청룡동","2768161","06","7537395000","1894199000","344319000","177075000","1679237000","32701000","415964000","226633000","645506000","513941000","1607820000"
"20201","11620585","낙성대동","3225725","07","6767860000","819829000","47069000","83859000","933740000","85828000","79355000","537783000","258425000","358398000","3563574000"
"20201","11620575","행운동","2889475","06","5391205000","2076950000","185412000","34234000","896487000","41779000","161761000","184647000","298845000","317500000","1193590000"
"20201","11620565","성현동","3455108","07","1294623000","477117000","14927000","11598000","109577000","46899000","197120000","29310000","103649000","41807000","262619000"
"20201","11620545","청림동","3682775","07","1336583000","907958000","12379000","885000","27905000","827000","124343000","25869000","71277000","18439000","146701000"
"20201","11620525","보라매동","2529995","06","12412383000","904800000","29297000","46053000","327302000","343196000","9646587000","88353000","240958000","96001000","689836000"
"20201","11590680","신대방2동","3340157","07","84733970000","1626236000","14182000","342877000","3375142000","76898891000","163059000","84312000","367589000","401093000","1460589000"
"20201","11590670","신대방1동","3845094","08","2515434000","846623000","51506000","18646000","329638000","15114000","138192000","89621000","451386000","94980000","479728000"
"20201","11590660","대방동","3524765","07","5340056000","1414254000","147346000","42866000","549589000","328183000","652762000","126936000","698360000","273111000","1106649000"
"20201","11590651","사당5동","3047661","07","561037000","182775000","5181000","1108000","9468000","1770000","50474000","17492000","35776000","31466000","225527000"
"20201","11590650","사당4동","2844168","06","2005846000","1171984000","16666000","19046000","171376000","10359000","73490000","18306000","100615000","98369000","325635000"
"20201","11590640","사당3동","3890035","08","2562979000","1159491000","31982000","22185000","134546000","12948000","215122000","28677000","137276000","109246000","711506000"
"20201","11590630","사당2동","3884988","08","6832523000","1947181000","106001000","39685000","947558000","204199000","118120000","582880000","456389000","232680000","2197830000"
"20201","11590620","사당1동","2855173","06","6571674000","927746000","123996000","153074000","1182345000","378014000","167467000","317289000","507400000","367081000","2447262000"
"20201","11590605","흑석동","4224946","08","7310994000","1646974000","51448000","30274000","3451475000","23252000","131524000","143755000","274266000","154687000","1403339000"
"20201","11590560","상도4동","2563258","06","1747763000","722829000","24967000","18609000","179926000","7739000","90557000","63425000","97496000","69452000","472763000"
"20201","11590550","상도3동","2575897","06","2745647000","1006603000","52013000","42246000","284710000","191252000","49783000","94875000","164530000","137539000","722096000"
"20201","11590540","상도2동","3826699","08","3715838000","1267917000","68316000","141742000","479690000","46071000","283352000","139818000","222042000","174669000","892221000"
"20201","11590530","상도1동","3875896","08","5542651000","1909828000","58687000","66069000","637021000","438335000","238871000","227788000","342904000","320721000","1302427000"
"20201","11590520","노량진2동","2420761","05","3889104000","1767177000","28269000","41440000","207562000","5704000","230172000","98770000","213644000","142406000","1153960000"
"20201","11590510","노량진1동","3583099","07","7378950000","2319298000","45513000","98209000","414833000","26311000","1150756000","409693000","450955000","298839000","2164543000"
"20201","11560720","대림3동","2907933","06","5472959000","921510000","38079000","119812000","1216559000","1361568000","106466000","243073000","345384000","97140000","1023368000"
"20201","11560710","대림2동","2686240","06","2258856000","552387000","51419000","11054000","235993000","1855000","14916000","180250000","124468000","88442000","998072000"
"20201","11560700","대림1동","2582442","06","2722811000","556671000","56094000","183726000","1198482000","8800000","51328000","38156000","121215000","35403000","472936000"
"20201","11560690","신길7동","3616070","07","1972878000","825884000","14347000","23057000","166758000","192694000","199181000","39441000","51216000","107208000","353092000"
"20201","11560680","신길6동","2954616","06","3770847000","1250887000","32033000","31216000","497244000","388232000","212035000","101124000","214578000","110056000","933442000"
"20201","11560670","신길5동","2656511","06","1053990000","226561000","19907000","69174000","29423000","241410000","37992000","28092000","33105000","20043000","348283000"
"20201","11560660","신길4동","2717791","06","547133000","156807000","15556000","85804000","19421000","5501000","59150000","21664000","17909000","25986000","139335000"
"20201","11560650","신길3동","3085442","07","2818049000","969159000","56467000","89755000","543436000","323387000","111457000","76211000","102041000","64939000","481197000"
"20201","11560630","신길1동","2780044","06","3034979000","847995000","44037000","13800000","817529000","338918000","63463000","82128000","126560000","83533000","617016000"
"20201","11560620","양평2동","3672088","07","5115602000","1730875000","54526000","86524000","363605000","828511000","100142000","171098000","288182000","108801000","1383338000"
"20201","11560610","양평1동","3508250","07","3954222000","538494000","21755000","16254000","587255000","1320493000","118135000","64012000","204866000","141046000","941912000"
"20201","11560605","문래동","4019445","08","8249223000","1474755000","27155000","179399000","909818000","396343000","245002000","224090000","1949002000","376982000","2466677000"
"20201","11560585","도림동","3031484","07","2260503000","1142366000","12998000","10406000","96789000","164243000","118362000","45832000","93812000","102081000","473614000"
"20201","11560560","당산2동","4130932","08","8849660000","1579510000","85265000","105450000","1248423000","60677000","368680000","338666000","459465000","2096257000","2507267000"
"20201","11560550","당산1동","3536432","07","4244440000","956658000","64060000","64406000","491841000","188821000","97653000","297328000","305355000","232831000","1545487000"
"20201","11560540","여의동","5590853","09","160605224000","3617129000","574354000","416795000","2908329000","94710759000","553856000","714741000","17994226000","29735969000","9379066000"
"20201","11560535","영등포동","3570107","07","23738910000","4359233000","1786052000","636587000","3048858000","393191000","336911000","1299763000","4593232000","696570000","6588513000"
